Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,50,798.625,0.1617,0.25,0.0001,4940,4939,0,1,0,0,0,540,540,4399,4399,1,0,28.959999999999944,11.663999999999776,28.959999999999944,6164.000000000649,0.0,0.0,1267.2064777327935,0.2096,0.3266,6.3286,0.0017,34.4103,0.6617,3.249,3.249,18.8571,18.8571,12.3042,0.2461,1.1108,0,3.1528,4.2636,0,0,0,33.4609,98.9813,-1.0,[98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,100,1611.6875,0.1588,118.025,0.0116,10150,10143,0,7,0,0,0,1050,1050,9095,9093,5,0,60.78104615384035,22.67999999999947,60.78104615384035,12711.920000000704,0.0,0.0,1268.9594008671659,0.2252,0.6351,13.2615,0.0011,51.6936,0.5068,6.3175,6.3175,20.6481,20.6481,24.728,0.2473,2.1599,0,6.6178,8.7777,0,0,0,33.4747,99.0548,-1.0,[98.30042014814815- 98.29509186074074- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06164013896297- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 99.06164013896297- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,150,2407.5,0.1595,493.9875,0.0327,15090,15041,0,49,0,0,0,1590,1590,13500,13451,0,0,89.74153846150742,34.34399999999993,89.74153846150742,18876.000000000124,0.0,0.0,1268.389662027833,0.2235,0.9617,19.5968,0,68.8799,0.4532,9.5665,9.5665,22.2847,22.2847,37.0287,0.2469,3.2707,0,9.7696,13.0403,0,0,0,33.4695,99.0267,-1.0,[99.06156183703705- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,200,3221.125,0.1587,1131.5,0.0557,20300,19784,0,516,0,0,0,2100,2100,18199,17684,1,0,121.56307692301583,45.36000000000323,121.56307692301583,25423.99999999935,0.0,0.0,1268.9655172413793,0.2283,1.2702,26.5302,0.0004,86.1636,0.4266,12.635,12.635,24.0759,24.0759,49.4528,0.2473,4.3198,0,13.2347,17.5545,0,0,0,33.4743,99.0525,-1.0,[99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,250,4018.625,0.1592,1896.3875,0.0751,25240,23777,0,1463,0,0,0,2640,2640,22599,21137,1,0,150.52307692305473,57.02400000000676,150.52307692305473,31587.999999998778,0.0,0.0,1268.621236133122,0.227,1.5968,32.8609,0.0003,103.351,0.4101,15.884,15.884,25.7113,25.7113,61.7557,0.247,5.4306,0,16.3871,21.8177,0,0,0,33.4706,99.0329,-1.0,[99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.06156183703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,300,4831.125,0.1587,2967.7,0.0975,30450,26652,0,3798,0,0,0,3150,3150,27299,23502,1,0,182.3446153846571,68.04000000000735,182.3446153846571,38135.99999999718,0.0,0.0,1268.9655172413793,0.2294,1.9052,39.7964,0.0003,120.634,0.3995,18.9525,18.9525,27.503,27.503,74.1785,0.2473,6.4797,0,19.8518,26.3315,0,0,0,33.4805,99.0856,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,50,1480.3375,0.2997,0,0,4940,4893,0,47,0,0,0,2492,2492,2101,2101,347,300,14.039753846152786,25.022560000000446,14.039753846152786,5409.280000000527,0.0,0.0,1138.5661844094147,0.7069,0.2593,4.0067,0.6119,33.0152,0.6349,2.5789,2.5789,18.2573,18.2573,12.179,0.2436,2.4176,0,1.5395,3.9571,0,0,0,33.4869,99.1197,-1.0,[99.04314814814815- 98.74336521481483- 99.04314814814815- 99.04314814814815- 99.0570165688889- 99.06091477185186- 99.06250146014816- 99.04314814814815- 99.04314814814815- 99.04314814814815- 98.3267164711111- 98.30042014814815- 98.30704473481482- 99.04314814814815- 99.04314814814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,100,3359.4875,0.331,1.3375,0.0001,10150,9751,0,399,0,0,0,4478,4478,4313,4313,1359,960,42.65347692307576,37.335760000001635,42.65347692307576,11598.160000000862,0.0,0.0,1159.5651264896508,1.0601,0.3931,9.125,0.9368,49.1165,0.4815,3.9101,3.9101,19.5795,19.5795,25.6269,0.2563,3.6024,0,4.9433,8.5458,0,0,0,33.4653,99.0465,-1.0,[99.04314814814815- 98.76303173451853- 98.74336521481483- 98.63977534814815- 98.35301279407408- 99.04036757422223- 98.318456696- 99.06304957362964- 99.0413347303704- 98.960637584- 99.06312787555557- 98.26816886933334- 99.06297127170372- 98.3131221837037- 99.04314814814815- 98.72448089185185- 98.30042014814815- 99.06320617748148- 98.96855212444447- 99.04314814814815- 99.04314814814815- 99.04314814814815- 99.06248769362963- 98.28109512444445- 98.3386693451852- 99.06288608651852- 98.32599110400001- 98.74336521481483- 99.04314814814815- 99.04314814814815- 99.47904310003955- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.86557646302886- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.3309282423883- 99.47904310003955],[]
ALL, ROUND_ROBIN,150,5194.8875,0.3443,12.6,0.0008,15090,14152,0,938,0,0,0,5497,5497,5780,5780,3813,2875,72.91384615383768,46.16064000000273,72.91384615383768,17618.580000000125,0.0,0.0,1184.7911135950817,1.0939,0.4983,10.9385,0.9911,66.6303,0.4384,5.0367,5.0367,20.3714,20.3714,41.2223,0.2748,4.4522,0,9.0845,13.5367,0,0,0,33.4248,98.9285,-1.0,[99.02821243881482- 98.33102625481483- 98.28799590814813- 99.02833333333335- 97.68603946666666- 98.97277741392594- 98.92147931466667- 99.04854796651853- 99.02470649777779- 97.98821297481481- 99.0459515294815- 99.02833333333335- 98.32863568- 98.31559475525927- 98.62496053333335- 98.35732257777778- 99.04886117422222- 99.04862626844447- 98.62496053333335- 98.62496053333335- 98.33580740444445- 98.99879042785186- 98.28799590814813- 98.72855040000002- 98.35015085333333- 98.77555141925927- 99.02833333333335- 98.62496053333335- 98.62496053333335- 98.02352445925925- 99.04862626844447- 99.04909608000001- 98.18340071644445- 99.04909608000001- 98.7490356482963- 98.72540714251852- 99.04917438192594- 98.26249011051851- 99.02567365392594- 98.28799590814813- 98.62496053333335- 98.24184499318518- 99.02833333333335- 99.02833333333335- 99.02833333333335- 99.47064056939502- 99.47064056939502- 99.47064056939502- 98.85921882117438- 99.32252571174378- 99.47064056939502- 99.32252571174378- 98.85921882117438- 99.47064056939502- 99.47064056939502- 98.85921882117438- 98.85717393238434- 99.47064056939502- 98.85921882117438- 99.32252571174378- 99.17273447138197- 99.47064056939502- 99.32252571174378- 99.47064056939502- 99.47064056939502- 99.32252571174378- 99.47064056939502- 99.47064056939502- 98.85921882117438- 99.47064056939502- 99.46929946322658- 99.47064056939502- 99.32252571174378- 99.32252571174378- 99.47064056939502],[]
ALL, ROUND_ROBIN,200,7655.65,0.3771,96.1125,0.0047,20300,18377,0,1923,0,0,0,7532,7532,7729,7729,5039,3116,89.34793846151813,68.3885600000003,89.34793846151813,23067.609999999204,0.0,0.0,1180.8981657179002,1.3721,0.6758,14.128,1.2716,81.093,0.4015,6.7229,6.7229,20.872,20.872,53.4981,0.2675,6.6065,0,10.9387,17.5452,0,0,0,33.4444,98.9991,-1.0,[99.04314814814815- 98.27233932148148- 98.28812216- 98.93472250074075- 98.74241164740741- 98.76185161540741- 99.04314814814815- 99.04314814814815- 99.02661288296298- 99.04314814814815- 98.04844871111109- 98.77970965925927- 98.94191068740741- 99.04314814814815- 99.04314814814815- 98.26496557333333- 98.30281072296297- 99.06326382962962- 99.03334676355557- 99.0638325928889- 98.76459088977778- 98.4606454808889- 99.04314814814815- 99.04314814814815- 99.04314814814815- 98.35485623111111- 99.04314814814815- 98.34647556148148- 98.34678091022222- 98.76428456533334- 98.3554033688889- 99.04314814814815- 98.74773993481482- 99.04314814814815- 98.87264295111112- 99.04314814814815- 99.06469391407407- 99.04314814814815- 99.04314814814815- 99.03976310162965- 98.34641822666667- 98.30281072296297- 99.06391089481481- 98.73901301214816- 99.04278546459261- 98.93653591851853- 98.23284141392593- 99.04314814814815- 98.30042014814815- 99.04314814814815- 98.93532697333335- 99.0641458005926- 98.73949659022223- 98.08430733333333- 98.35779394370371- 98.36257509333333- 98.93484339525928- 98.2023224237037- 99.06453731022224- 98.96714040029632- 99.33066002115461- 99.47904310003955- 99.47904310003955- 99.32891658313564- 99.47904310003955- 99.47904310003955- 98.8676213518189- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.32831308535982- 99.47904310003955- 99.03469852708581- 99.47656205362792- 99.47636088770265- 99.3288495278272- 99.03469852708581- 99.47689733017003- 98.86557646302886- 99.47904310003955- 99.47904310003955- 98.8676213518189- 99.3309282423883- 99.32844719597668- 99.47817138103007- 99.47904310003955- 99.18281338473705- 99.47904310003955- 99.47696438547844- 99.47884193411427- 99.47636088770265- 99.47904310003955- 98.8676213518189- 99.3309282423883- 99.47904310003955- 99.47904310003955- 98.8676213518189- 99.47904310003955- 99.47904310003955- 99.47642794301107],[]
